"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"39","Connor Hellebuyck","WPG","124","5919.7833333333","2967","2761","206","0.931","2.09","49.51","258.99","781","658","123","0.843","1.25","13.32","753","693","60","0.920","0.61","18.34","1278","1255","23","0.982","0.23","16.50","152","483","36.04","18.45"
"40","Linus Ullmark","BOS","90","4136.9166666667","2063","1933","130","0.937","1.89","47.66","168.39","532","461","71","0.867","1.03","21.86","514","475","39","0.924","0.57","14.47","893","873","20","0.978","0.29","7.60","154","344","36.27","20.73"
"55","Ilya Sorokin","NYI","118","5702.0833333333","2925","2712","213","0.927","2.24","38.89","256.39","765","655","110","0.856","1.16","23.53","702","633","69","0.902","0.73","4.03","1317","1283","34","0.974","0.36","6.70","176","550","35.73","21.15"
"89","Jeremy Swayman","BOS","81","3588.3","1692","1573","119","0.930","1.99","26.71","152.23","443","376","67","0.849","1.12","10.32","408","372","36","0.912","0.60","6.45","745","729","16","0.979","0.27","7.02","126","299","35.59","19.82"
"45","Juuse Saros","NSH","128","5853.4","3039","2804","235","0.923","2.41","26.71","262.57","764","645","119","0.844","1.22","14.35","836","759","77","0.908","0.79","9.97","1280","1242","38","0.970","0.39","1.56","226","488","34.57","20.71"
"58","Igor Shesterkin","NYR","113","5471.9833333333","2694","2486","208","0.923","2.28","24.00","239.32","744","630","114","0.847","1.25","15.86","688","627","61","0.911","0.67","10.58","1130","1097","33","0.971","0.36","1.92","197","472","34.48","19.71"
"68","Joey Daccord","SEA","55","2535.0833333333","1196","1113","83","0.931","1.96","20.00","99.65","242","195","47","0.806","1.11","-4.76","303","280","23","0.924","0.54","8.52","585","572","13","0.978","0.31","5.08","61","209","37.73","18.95"
"27","Laurent Brossoit","VGK, WPG","34","1634.3333333333","739","695","44","0.940","1.62","19.64","63.24","183","157","26","0.858","0.95","5.94","190","176","14","0.926","0.51","5.77","322","318","4","0.988","0.15","5.95","50","128","36.72","19.27"
"91","Alexandar Georgiev","COL","125","5823.1","2831","2604","227","0.920","2.34","16.80","236.03","743","623","120","0.838","1.24","9.69","629","568","61","0.903","0.63","4.44","1307","1261","46","0.965","0.47","-5.61","158","450","35.77","20.05"
"18","Sergei Bobrovsky","FLA","108","4838.0833333333","2294","2112","182","0.921","2.26","15.55","198.56","629","528","101","0.839","1.25","8.79","562","511","51","0.909","0.63","7.47","966","936","30","0.969","0.37","-0.15","142","356","35.87","19.12"
"50","Thatcher Demko","VAN","83","3913.9666666667","1907","1758","149","0.922","2.28","15.23","165.03","505","425","80","0.842","1.23","8.15","476","430","46","0.903","0.71","3.52","827","804","23","0.972","0.35","2.56","101","313","35.32","21.26"
"79","Stuart Skinner","EDM","109","5044.05","2349","2161","188","0.920","2.24","14.29","208","598","496","102","0.829","1.21","2.38","661","596","65","0.902","0.77","3.77","956","935","21","0.978","0.25","8.55","146","346","35.05","20.46"
"96","Kevin Lankinen","NSH","43","1840.45","943","875","68","0.928","2.22","13.21","81.07","245","210","35","0.857","1.14","7.76","244","222","22","0.910","0.72","3.38","399","388","11","0.972","0.36","1.33","68","143","34.98","19.34"
"97","Joel Hofer","STL","36","1576.5333333333","815","758","57","0.930","2.17","13.19","72.12","199","165","34","0.829","1.29","0.74","207","191","16","0.923","0.61","5.54","378","372","6","0.984","0.23","5.68","38","123","34.36","19.61"
"2","Marc-Andre Fleury","MIN","86","3852.0166666667","1858","1711","147","0.921","2.29","13.01","152.9","452","377","75","0.834","1.17","3.90","463","420","43","0.907","0.67","5.17","850","821","29","0.966","0.45","-2.73","103","283","36.01","21.31"
"10","Semyon Varlamov","NYI","51","2368.6833333333","1182","1093","89","0.925","2.25","12.79","105.37","317","271","46","0.855","1.17","9.33","294","266","28","0.905","0.71","2.59","502","487","15","0.970","0.38","0.51","85","224","35.32","22.27"
"77","Filip Gustavsson","MIN","84","3796.7166666667","1852","1705","147","0.921","2.32","12.49","146.56","428","357","71","0.834","1.12","3.71","497","453","44","0.911","0.70","7.71","845","813","32","0.962","0.51","-5.88","112","268","35.99","21.12"
"90","Logan Thompson","VGK","83","3935.3833333333","1936","1781","155","0.920","2.36","11.72","158.05","458","383","75","0.836","1.14","4.94","476","429","47","0.901","0.72","2.52","905","873","32","0.965","0.49","-4.03","127","344","36.15","20.86"
"38","Anthony Stolarz","ANA, FLA","46","1803.05","902","836","66","0.927","2.20","11.68","85.78","279","244","35","0.875","1.16","13.70","218","200","18","0.917","0.60","4.68","361","348","13","0.964","0.43","-1.84","47","183","33.60","21.86"
"80","Jake Oettinger","DAL","116","5395.95","2513","2307","206","0.918","2.29","10.41","214.76","644","527","117","0.818","1.30","-4.59","613","550","63","0.897","0.70","0.77","1116","1090","26","0.977","0.29","8.49","146","378","36.03","18.70"
"70","Connor Ingram","ARI","77","3525.75","1814","1668","146","0.920","2.48","10.22","157.86","446","377","69","0.845","1.17","8.85","499","442","57","0.886","0.97","-5.09","777","757","20","0.974","0.34","4.01","101","301","35.29","20.04"
"21","Scott Wedgewood","DAL","53","2380.6","1149","1058","91","0.921","2.29","7.95","91.26","267","218","49","0.816","1.23","-2.40","290","263","27","0.907","0.68","3.17","539","524","15","0.972","0.38","1.66","74","179","37.21","20.54"
"78","David Rittich","L.A, WPG","45","1955.0333333333","835","771","64","0.923","1.96","7.91","73.74","219","185","34","0.845","1.04","4.23","203","187","16","0.921","0.49","5.12","372","358","14","0.962","0.43","-2.50","47","148","36.07","21.58"
"63","Ilya Samsonov","TOR","82","3830.9333333333","1749","1606","143","0.918","2.24","7.62","159.95","468","404","64","0.863","1.00","17.69","425","373","52","0.878","0.81","-7.78","773","746","27","0.965","0.42","-3.11","100","333","35.21","21.73"
"76","Carter Hart","PHI","81","3726.1","1871","1717","154","0.918","2.48","7.12","162.16","493","408","85","0.828","1.37","1.05","458","408","50","0.891","0.81","-2.35","811","793","18","0.978","0.29","7.06","86","314","35.91","20.12"
"62","Sam Montembeault","MTL","81","3809.9333333333","2016","1848","168","0.917","2.65","5.61","189.35","543","445","98","0.820","1.54","-3.22","540","484","56","0.896","0.88","0.18","848","834","14","0.983","0.22","12.21","86","373","34.39","18.23"
"46","Tristan Jarry","PIT","98","4302.8333333333","2189","2006","183","0.916","2.55","5.51","186.46","549","441","108","0.803","1.51","-12.17","570","524","46","0.919","0.64","13.30","949","921","28","0.970","0.39","1.33","110","349","35.63","20.18"
"19","Calvin Pickard","EDM","24","1121.4666666667","481","445","36","0.925","1.93","5.42","42.16","116","96","20","0.828","1.07","0.25","120","107","13","0.892","0.70","-0.52","223","220","3","0.987","0.16","3.89","33","88","35.20","18.06"
"71","Casey DeSmith","PIT, VAN","67","3006.8666666667","1463","1342","121","0.917","2.41","4.99","133.49","437","364","73","0.833","1.46","3.28","344","314","30","0.913","0.60","5.79","614","596","18","0.971","0.36","0.98","77","260","34.16","18.50"
"95","Pavel Francouz","COL","16","742.71666666667","397","367","30","0.924","2.42","4.19","31.7","106","84","22","0.792","1.78","-3.50","107","101","6","0.944","0.48","5.13","161","159","2","0.988","0.16","2.98","19","58","35.57","17.87"
"33","Andrei Vasilevskiy","T.B","112","5354.3666666667","2610","2389","221","0.915","2.48","3.77","223.52","689","581","108","0.843","1.21","12.26","678","601","77","0.886","0.86","-6.46","1124","1088","36","0.968","0.40","-1.26","147","421","34.92","21.30"
"66","Erik Kallgren","TOR","10","459.91666666667","204","190","14","0.931","1.83","3.57","17.65","60","51","9","0.850","1.17","1.47","53","49","4","0.925","0.52","1.51","76","75","1","0.987","0.13","1.35","13","32","36.07","16.07"
"83","Cayden Primeau","MTL","26","1148.8333333333","592","544","48","0.919","2.51","2.98","54.28","142","121","21","0.852","1.10","3.79","158","141","17","0.892","0.89","-0.56","262","252","10","0.962","0.52","-1.90","41","114","36.04","21.42"
"87","Jiri Patera","VGK","8","358.98333333333","207","192","15","0.928","2.51","2.83","17.95","53","46","7","0.868","1.17","2.25","51","48","3","0.941","0.50","2.31","90","85","5","0.944","0.84","-2.22","12","36","36.04","23.73"
"37","Joonas Korpisalo","CBJ, L.A, OTT","94","4219.6166666667","2133","1952","181","0.915","2.57","2.69","190.9","571","479","92","0.839","1.31","7.67","545","487","58","0.894","0.82","-1.30","912","881","31","0.966","0.44","-2.81","120","411","34.82","20.22"
"103","Spencer Knight","FLA","21","897.96666666667","470","432","38","0.919","2.54","2.47","36.93","123","110","13","0.894","0.87","8.47","120","102","18","0.850","1.20","-5.52","203","196","7","0.966","0.47","-0.73","23","53","35.74","24.42"
"88","Dylan Ferguson","OTT","2","99.333333333333","75","71","4","0.947","2.42","2.46","6.84","20","19","1","0.950","0.60","2.49","26","23","3","0.885","1.81","-0.30","26","26","0","1.000","0.00","0.80","2","13","34.39","20.50"
"93","Lukas Dostal","ANA","63","2648.2166666667","1445","1323","122","0.916","2.76","2.44","118.84","373","303","70","0.812","1.59","-4.89","354","321","33","0.907","0.75","3.83","645","626","19","0.971","0.43","0.93","70","195","35.17","19.51"
"110","Devon Levi","BUF","30","1397.45","678","622","56","0.917","2.40","2.39","68.28","205","175","30","0.854","1.29","5.78","180","162","18","0.900","0.77","0.73","267","259","8","0.970","0.34","0.25","28","159","32.11","19.04"
"109","Yaroslav Askarov","NSH","3","113.56666666667","58","55","3","0.948","1.58","1.99","6.16","16","14","2","0.875","1.06","0.79","11","10","1","0.909","0.53","0.14","28","28","0","1.000","0.00","0.87","4","17","38.34","16.67"
"26","Keith Kinkaid","BOS, COL","2","70.05","34","33","1","0.971","0.86","1.93","3.1","9","8","1","0.889","0.86","0.57","9","9","0","1.000","0.00","0.94","15","15","0","1.000","0.00","0.46","1","6","35.18","12.00"
"25","Frederik Andersen","CAR","50","2333.2833333333","997","913","84","0.916","2.16","1.86","82.17","262","220","42","0.840","1.08","3.73","250","219","31","0.876","0.80","-4.99","404","393","11","0.973","0.28","1.49","53","154","35.95","20.27"
"122","Georgi Romanov","S.J","2","57.683333333333","30","29","1","0.967","1.04","1.58","3.11","6","5","1","0.833","1.04","0.05","7","7","0","1.000","0.00","0.73","16","16","0","1.000","0.00","0.49","1","5","30.73","7.00"
"36","Chris Driedger","SEA","2","101.93333333333","50","47","3","0.940","1.77","1.31","4.23","11","10","1","0.909","0.59","0.92","9","7","2","0.778","1.18","-1.06","28","28","0","1.000","0.00","0.87","7","9","35.28","24.33"
"119","Jaxson Stauber","CHI","6","298.5","163","150","13","0.920","2.61","1.04","14.32","48","43","5","0.896","1.01","3.38","41","34","7","0.829","1.41","-2.73","64","63","1","0.984","0.20","0.98","7","24","34.76","19.00"
"99","Justus Annunen","COL","16","741.88333333333","372","341","31","0.917","2.51","1.04","32.85","109","91","18","0.835","1.46","1.03","85","76","9","0.894","0.73","-0.16","165","161","4","0.976","0.32","1.10","21","68","34.56","18.06"
"75","Dylan Wells","CHI","1","15.583333333333","12","12","0","1.000","0.00","1.03","1.49","4","4","0","1.000","0.00","0.70","2","2","0","1.000","0.00","0.21","5","5","0","1.000","0.00","0.15","1","0","28.00","-"
"64","Adin Hill","VGK","62","2884.55","1392","1273","119","0.915","2.48","0.87","121.06","314","259","55","0.825","1.14","-0.19","392","344","48","0.878","1.00","-7.22","616","600","16","0.974","0.33","3.04","82","238","35.40","19.34"
