"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"31","Pheonix Copley","L.A","1","19.033333333333","6","6","0","1.000","0.00","0.53","0.22","1","1","0","1.000","0.00","0.18","1","1","0","1.000","0.00","0.12","3","3","0","1.000","0.00","0.10","1","0","46.83","-"
"70","Akira Schmid","VGK","1","24.833333333333","7","7","0","1.000","0.00","0.62","0.62","1","1","0","1.000","0.00","0.18","1","1","0","1.000","0.00","0.12","4","4","0","1.000","0.00","0.13","0","0","41.86","-"
"94","Yaniv Perets","CAR","1","6.3333333333333","4","4","0","1.000","0.00","0.35","0.26","2","2","0","1.000","0.00","0.36","0","0","0","-","0.00","0.00","2","2","0","1.000","0.00","0.07","0","0","26.00","-"
"79","Nico Daws","N.J","5","158.15","68","66","2","0.971","0.76","3.99","6.45","20","19","1","0.950","0.38","2.61","13","12","1","0.923","0.38","0.50","33","33","0","1.000","0.00","1.09","7","16","32.88","19.50"
"26","Marcus Hogberg","NYI","7","291.78333333333","126","120","6","0.952","1.23","5.11","12.76","28","25","3","0.893","0.62","2.05","25","24","1","0.960","0.21","1.88","65","63","2","0.969","0.41","0.14","8","30","39.65","21.83"
"78","Erik Portillo","L.A","1","47.1","21","20","1","0.952","1.27","0.85","2.09","6","5","1","0.833","1.27","0.08","4","4","0","1.000","0.00","0.46","9","9","0","1.000","0.00","0.30","3","3","37.24","9.00"
"23","Anthony Stolarz","TOR","23","1016.8333333333","481","454","27","0.944","1.59","15.39","46.8","116","99","17","0.853","1.00","3.92","120","111","9","0.925","0.53","4.84","218","217","1","0.995","0.06","6.19","51","113","37.70","17.56"
"24","Connor Hellebuyck","WPG","47","2357.6333333333","1022","959","63","0.938","1.60","27.08","91.18","223","194","29","0.870","0.74","11.21","241","218","23","0.905","0.59","4.80","501","490","11","0.978","0.28","5.53","63","200","39.19","22.08"
"77","Dustin Wolf","CGY","37","1780.35","848","791","57","0.933","1.92","17.74","72.96","200","174","26","0.870","0.88","10.07","216","196","20","0.907","0.67","4.91","379","368","11","0.971","0.37","1.50","83","157","37.26","22.26"
"20","Andrei Vasilevskiy","T.B","49","2376.8166666667","1129","1052","77","0.932","1.94","22.51","93.54","249","217","32","0.871","0.81","12.90","302","270","32","0.894","0.81","2.83","514","501","13","0.975","0.33","3.96","98","176","37.28","22.56"
"55","Filip Gustavsson","MIN","41","1993.4333333333","933","869","64","0.931","1.93","18.23","77.93","209","175","34","0.837","1.02","3.69","233","210","23","0.901","0.69","3.88","447","440","7","0.984","0.21","7.75","75","151","37.31","17.72"
